ParName   Value   Gradient
mean_log_rec      5.80251     -45.6347
log_Rzero      4.35196     -3.55414
rec_dev(1967)      -2.4297    -0.456466
rec_dev(1968)     -2.91112    -0.975041
rec_dev(1969)     -4.37118     0.545267
rec_dev(1970)     -3.62104      3.87487
rec_dev(1971)     -5.94406     -2.97123
rec_dev(1972)          -25 -6.02225e-12
rec_dev(1973)     -2.04248      14.5802
rec_dev(1974)     -1.18219      14.0486
rec_dev(1975)    0.0387818     -87.5877
rec_dev(1976)     0.431394     -72.7412
rec_dev(1977)     -0.53483     -23.1622
rec_dev(1978)      1.61051     -193.315
rec_dev(1979)    0.0913757     -65.4161
rec_dev(1980)    -0.541976      -20.253
rec_dev(1981)    -0.446931     -28.9345
rec_dev(1982)     -1.06701     -19.1822
rec_dev(1983)    -0.776258      -27.578
rec_dev(1984)     -0.61508     -15.6745
rec_dev(1985)    0.0279775      -49.001
rec_dev(1986)    0.0772962      12.4763
rec_dev(1987)     0.591819      22.4439
rec_dev(1988)    0.0704945      11.2413
rec_dev(1989)      1.33538      9.99806
rec_dev(1990)     0.409191     -18.8154
rec_dev(1991)    -0.280381     -3.30165
rec_dev(1992)     0.462198        7.034
rec_dev(1993)      1.03437     -21.3942
rec_dev(1994)   -0.0420736     -1.69212
rec_dev(1995)   -0.0823712      6.82168
rec_dev(1996)     0.911574      49.5641
rec_dev(1997)    -0.801388      16.9049
rec_dev(1998)    -0.293597      1.31751
rec_dev(1999)     0.683432     -2.52252
rec_dev(2000)      1.48797     -75.1667
rec_dev(2001)      1.03604     -18.7405
rec_dev(2002)      1.05885      -22.265
rec_dev(2003)    -0.660271     -17.3831
rec_dev(2004)    -0.340287        4.082
rec_dev(2005)   0.00711946      21.3559
rec_dev(2006)     -0.29123      16.8458
rec_dev(2007)     0.838633      19.7192
rec_dev(2008)     0.703828       -16.81
rec_dev(2009)    -0.584211     -18.8308
rec_dev(2010)     0.213881      15.5983
rec_dev(2011)    -0.420326     -1.32837
rec_dev(2012)   -0.0740753     -23.2209
rec_dev(2013)     0.393969      8.84474
rec_dev(2014)   -0.0334308      32.1845
rec_dev(2015)     -1.68698      4.43961
rec_dev(2016)    -0.408043     -3.76198
rec_dev(2017)    -0.934367      1.84909
rec_dev(2018)    -0.613166     -4.39112
rec_dev(2019)    -0.242969     -8.14504
log_sigmar        1.551      25.8674
fmort(1,1977)           15  4.81951e-15
fmort(1,1978)      5.55047     -8.66312
fmort(1,1979)     0.757378       3.4608
fmort(1,1980)     0.266617     -3.73518
fmort(1,1981)     0.157543      0.10396
fmort(1,1982)    0.0678271     -8.27661
fmort(1,1983)    0.0417232     -1.48649
fmort(1,1984)     0.146026     -4.22168
fmort(1,1985)      0.23145     -1.91821
fmort(1,1986)     0.257374     -4.95031
fmort(1,1987)      0.19463     -3.33014
fmort(1,1988)      0.17657     -3.83646
fmort(1,1989)    0.0836758     0.389685
fmort(1,1990)     0.065029     -2.33439
fmort(1,1991)    0.0982387      1.51618
fmort(1,1992)     0.110629    -0.847908
fmort(1,1993)     0.165407      2.46524
fmort(1,1994)     0.227025     0.930266
fmort(1,1995)        0.368      0.96597
fmort(1,1996)     0.519543     -1.45249
fmort(1,1997)     0.272881      1.43173
fmort(1,1998)     0.317962     -4.08997
fmort(1,1999)     0.221136    -0.313359
fmort(1,2000)     0.195622     0.816954
fmort(1,2001)     0.300116      2.15525
fmort(1,2002)     0.253631      2.22897
fmort(1,2003)     0.189263     -5.71612
fmort(1,2004)     0.147043     0.736657
fmort(1,2005)     0.151383     0.184027
fmort(1,2006)      0.19016      4.83083
fmort(1,2007)     0.201401     -7.57675
fmort(1,2008)     0.265389     -3.22993
fmort(1,2009)     0.499776    -0.890665
fmort(1,2010)      0.74773    -0.516567
fmort(1,2011)      1.35467     0.767114
fmort(1,2012)           15  8.42076e-19
fmort(1,2013)     0.998609     -1.92679
fmort(1,2014)      0.11418      1.10642
fmort(1,2015)     0.277599    -0.217707
fmort(1,2016)     0.309307      1.63946
fmort(1,2017)     0.468654     -3.12195
fmort(1,2018)     0.843879   -0.0687519
fmort(1,2019)      1.36541      1.00943
logsel_p1_fsh[1](1)     0.604145     -24.2504
logsel_p1_fsh[1](2)     0.677786      26.9038
logsel_p1_fsh[1](3)     0.504354     -9.26582
logsel_p1_fsh[1](4)     0.484736      7.42809
logsel_p1_fsh[1](5)     0.655272     -10.9262
logsel_p1_fsh[1](6)      0.34101     -1.04847
logsel_p1_fsh[1](7)     0.134979      -1.8215
logsel_p1_fsh[1](8)    0.0423644      3.02386
logsel_p1_fsh[1](9)    -0.338525     -4.56299
logsel_p1_fsh[1](10)    -0.267784     -3.66021
logsel_p1_fsh[1](11)    -0.143417      1.08834
logsel_p1_fsh[1](12)    -0.142506    -0.115023
logsel_p1_fsh[1](13)    -0.187053   -0.0651507
logsel_p1_fsh[1](14)    -0.218589    -0.176684
logsel_p1_fsh[1](15)   -0.0393683    -0.958485
logsel_p1_fsh[1](16)    0.0561117    0.0748516
logsel_p1_fsh[1](17)     0.127522     -2.65627
logsel_p1_fsh[1](18)     0.313958       2.4278
logsel_p1_fsh[1](19)     0.386732    -0.516979
logsel_p1_fsh[1](20)     0.472278      1.90469
logsel_p1_fsh[1](21)     0.373266     -1.10414
logsel_p1_fsh[1](22)     0.322149      2.39497
logsel_p1_fsh[1](23)      0.19415     0.661966
logsel_p1_fsh[1](24)   -0.0146128    -0.268759
logsel_p1_fsh[1](25)    0.0852675     -2.20952
logsel_p1_fsh[1](26)     0.313528     -1.27896
logsel_p1_fsh[1](27)     0.358598      6.60657
logsel_p1_fsh[1](28)      0.19578     -3.24052
logsel_p1_fsh[1](29)     0.126628     -2.23127
logsel_p1_fsh[1](30)    -0.204992     -3.85713
logsel_p1_fsh[1](31)   -0.0771107     -1.66344
logsel_p1_fsh[1](32)     0.157814     0.989539
logsel_p1_fsh[1](33)      0.52589       7.1917
logsel_p1_fsh[1](34)     0.699809     -1.68142
logsel_p1_fsh[1](35)      1.05339      4.75502
logsel_p1_fsh[1](36)      1.65992      2.60589
logsel_p1_fsh[1](37)      1.63383      1.44578
logsel_p1_fsh[1](38)    -0.338608    -0.171782
logsel_p1_fsh[1](39)     0.209054     0.256086
logsel_p1_fsh[1](40)     0.363525     -2.14383
logsel_p1_fsh[1](41)     0.495612      5.13703
logsel_p1_fsh[1](42)     0.537082     -3.05475
sel_p2_fsh[1](1)      3.87196     -28.9536
sel_p2_fsh[1](2)      3.61006      27.0609
sel_p2_fsh[1](3)      3.12019     -5.62694
sel_p2_fsh[1](4)      2.80095      5.17696
